k,links,affs,NMI,CHS,SS
3,ward,euclidean,0.7838704352911379,348.03096141091333,0.5043490792923953
3,average,euclidean,0.7838704352911379,348.03096141091333,0.5043490792923953
4,average,euclidean,0.7720518840706767,240.2263366600432,0.4226999292628631
2,ward,euclidean,0.7611702597222872,353.3674032325119,0.6294675561906644
2,complete,cosine,0.7611702597222872,353.3674032325119,0.6294675561906644
2,average,euclidean,0.7611702597222872,353.3674032325119,0.6294675561906644
2,average,cityblock,0.7611702597222872,353.3674032325119,0.6294675561906644
2,average,cosine,0.7611702597222872,353.3674032325119,0.6294675561906644
2,single,euclidean,0.7611702597222872,353.3674032325119,0.6294675561906644
2,single,cityblock,0.7611702597222872,353.3674032325119,0.6294675561906644
2,single,cosine,0.7611702597222872,353.3674032325119,0.6294675561906644
3,average,cityblock,0.7596430253769492,336.75479651442464,0.5018564917489703
3,complete,euclidean,0.7561847269223168,349.1719325467778,0.5030674466509139
3,complete,cosine,0.7423519795432905,180.57256887970456,0.5308893239015932
3,average,cosine,0.7423519795432905,180.57256887970456,0.5308893239015932
3,single,euclidean,0.7423519795432905,180.57256887970456,0.5308893239015932
3,single,cosine,0.7423519795432905,180.57256887970456,0.5308893239015932
4,average,cityblock,0.7371525900857898,236.85009457531018,0.4683772562905462
3,single,cityblock,0.7355435023525907,195.41458285934985,0.485043991039147
5,average,euclidean,0.733518558933518,205.76973978849884,0.3704241079872026
4,average,cosine,0.7277553537168542,125.33784405337157,0.37395978472375024
4,single,cosine,0.7277553537168542,125.33784405337157,0.37395978472375024
5,average,cityblock,0.726462112196949,184.05327727287408,0.38542190814824145
3,complete,cityblock,0.7224215140354543,309.521238502801,0.45123425278857543
4,single,cityblock,0.722114373383335,132.02730954534036,0.2814293596365899
4,ward,euclidean,0.7198264391354972,299.8991893486019,0.43255652632301644
4,single,euclidean,0.7189954769382507,133.32214067483096,0.38826644091020673
5,single,cosine,0.7143640868355688,95.39528196717684,0.2456489241458758
6,average,euclidean,0.7140195250126476,176.22113501409112,0.34491848021826627
5,single,euclidean,0.7066601031895433,101.35943508357994,0.20510173993234454
5,single,cityblock,0.7066601031895433,101.35943508357994,0.20510173993234454
6,single,cosine,0.6992309482061376,76.02007544064145,0.0804052345036491
8,average,euclidean,0.6988843166423679,141.10612939435583,0.27068234915866074
6,single,euclidean,0.6954139408097868,83.99762081003084,0.1604627810694802
6,single,cityblock,0.6954139408097868,83.99762081003084,0.1604627810694802
4,complete,euclidean,0.6900547108965996,271.57759838649736,0.39318662726870374
7,average,euclidean,0.6895297099226091,162.04662280425356,0.2962868000473518
6,average,cityblock,0.6878758200837608,206.41594612631158,0.3687810381224974
4,complete,cityblock,0.6865843656848414,264.9465307513984,0.4135561817096205
7,single,euclidean,0.6851375511041284,70.52942388512615,0.10936566430229205
7,single,cityblock,0.6851375511041283,70.11339631484994,0.05807304615628387
7,single,cosine,0.6850793487848564,63.553323147253785,0.04917432787736051
8,single,euclidean,0.6750091157332122,61.40087652896073,0.06304626048660117
8,single,cityblock,0.6750091157332121,61.04617114525236,0.0262888183937091
10,average,euclidean,0.6739199302201322,160.135252176839,0.29858325097405686
11,average,euclidean,0.673729861954238,166.7169932490741,0.3133189795674664
5,average,cosine,0.672266586792,96.34849644151565,0.2619601857690986
12,average,euclidean,0.6720775370442232,159.13920453684779,0.31257155215691823
12,average,cityblock,0.6714400316307687,156.69269276898788,0.301848627026504
9,average,euclidean,0.6699911231016052,139.27916554117127,0.2724236169140727
5,ward,euclidean,0.6658560379231458,273.63750324246996,0.34537101373205314
4,complete,cosine,0.6638041232821389,133.15147947997772,0.3034421158909592
9,average,cityblock,0.6630491444636651,156.41232845919563,0.3477954775115719
8,single,cosine,0.6628556673637847,54.331278987531505,0.030211647256139333
7,average,cityblock,0.6627858527645649,192.52581258125036,0.37615070788523775
6,complete,cityblock,0.6611405526029221,249.96195769791657,0.3136925516457511
9,single,cosine,0.6593381937078746,47.23332177163736,0.009744129404519544
9,single,euclidean,0.6535849065074224,63.849915162357654,0.10521653992448408
9,single,cityblock,0.6533345836044906,67.28809901280336,0.08317646864953399
10,single,cosine,0.6503813887664283,42.176708379162186,-0.08985209621102566
7,ward,euclidean,0.6492978865465435,246.5044594601512,0.32857302455221316
8,average,cityblock,0.6481299462702352,175.96356717684228,0.35676235231245507
5,complete,euclidean,0.6479490653999107,277.13100305960734,0.33678778052729047
10,single,cityblock,0.6476319203793168,60.41222812987387,0.06920915843784445
