,True,Predicted,n_clusters,link-aff
0,0,1,2,ward_euclidean
1,0,1,2,ward_euclidean
2,0,1,2,ward_euclidean
3,0,1,2,ward_euclidean
4,0,1,2,ward_euclidean
5,0,1,2,ward_euclidean
6,0,1,2,ward_euclidean
7,0,1,2,ward_euclidean
8,0,1,2,ward_euclidean
9,0,1,2,ward_euclidean
10,0,1,2,ward_euclidean
11,0,1,2,ward_euclidean
12,0,1,2,ward_euclidean
13,0,1,2,ward_euclidean
14,0,1,2,ward_euclidean
15,0,1,2,ward_euclidean
16,0,1,2,ward_euclidean
17,0,1,2,ward_euclidean
18,0,1,2,ward_euclidean
19,0,1,2,ward_euclidean
20,0,1,2,ward_euclidean
21,0,1,2,ward_euclidean
22,0,1,2,ward_euclidean
23,0,1,2,ward_euclidean
24,0,1,2,ward_euclidean
25,0,1,2,ward_euclidean
26,0,1,2,ward_euclidean
27,0,1,2,ward_euclidean
28,0,1,2,ward_euclidean
29,0,1,2,ward_euclidean
30,0,1,2,ward_euclidean
31,0,1,2,ward_euclidean
32,0,1,2,ward_euclidean
33,0,1,2,ward_euclidean
34,0,1,2,ward_euclidean
35,0,1,2,ward_euclidean
36,0,1,2,ward_euclidean
37,0,1,2,ward_euclidean
38,0,1,2,ward_euclidean
39,0,1,2,ward_euclidean
40,0,1,2,ward_euclidean
41,0,1,2,ward_euclidean
42,0,1,2,ward_euclidean
43,0,1,2,ward_euclidean
44,0,1,2,ward_euclidean
45,0,1,2,ward_euclidean
46,0,1,2,ward_euclidean
47,0,1,2,ward_euclidean
48,0,1,2,ward_euclidean
49,0,1,2,ward_euclidean
50,1,0,2,ward_euclidean
51,1,0,2,ward_euclidean
52,1,0,2,ward_euclidean
53,1,0,2,ward_euclidean
54,1,0,2,ward_euclidean
55,1,0,2,ward_euclidean
56,1,0,2,ward_euclidean
57,1,0,2,ward_euclidean
58,1,0,2,ward_euclidean
59,1,0,2,ward_euclidean
60,1,0,2,ward_euclidean
61,1,0,2,ward_euclidean
62,1,0,2,ward_euclidean
63,1,0,2,ward_euclidean
64,1,0,2,ward_euclidean
65,1,0,2,ward_euclidean
66,1,0,2,ward_euclidean
67,1,0,2,ward_euclidean
68,1,0,2,ward_euclidean
69,1,0,2,ward_euclidean
70,1,0,2,ward_euclidean
71,1,0,2,ward_euclidean
72,1,0,2,ward_euclidean
73,1,0,2,ward_euclidean
74,1,0,2,ward_euclidean
75,1,0,2,ward_euclidean
76,1,0,2,ward_euclidean
77,1,0,2,ward_euclidean
78,1,0,2,ward_euclidean
79,1,0,2,ward_euclidean
80,1,0,2,ward_euclidean
81,1,0,2,ward_euclidean
82,1,0,2,ward_euclidean
83,1,0,2,ward_euclidean
84,1,0,2,ward_euclidean
85,1,0,2,ward_euclidean
86,1,0,2,ward_euclidean
87,1,0,2,ward_euclidean
88,1,0,2,ward_euclidean
89,1,0,2,ward_euclidean
90,1,0,2,ward_euclidean
91,1,0,2,ward_euclidean
92,1,0,2,ward_euclidean
93,1,0,2,ward_euclidean
94,1,0,2,ward_euclidean
95,1,0,2,ward_euclidean
96,1,0,2,ward_euclidean
97,1,0,2,ward_euclidean
98,1,0,2,ward_euclidean
99,1,0,2,ward_euclidean
100,2,0,2,ward_euclidean
101,2,0,2,ward_euclidean
102,2,0,2,ward_euclidean
103,2,0,2,ward_euclidean
104,2,0,2,ward_euclidean
105,2,0,2,ward_euclidean
106,2,0,2,ward_euclidean
107,2,0,2,ward_euclidean
108,2,0,2,ward_euclidean
109,2,0,2,ward_euclidean
110,2,0,2,ward_euclidean
111,2,0,2,ward_euclidean
112,2,0,2,ward_euclidean
113,2,0,2,ward_euclidean
114,2,0,2,ward_euclidean
115,2,0,2,ward_euclidean
116,2,0,2,ward_euclidean
117,2,0,2,ward_euclidean
118,2,0,2,ward_euclidean
119,2,0,2,ward_euclidean
120,2,0,2,ward_euclidean
121,2,0,2,ward_euclidean
122,2,0,2,ward_euclidean
123,2,0,2,ward_euclidean
124,2,0,2,ward_euclidean
125,2,0,2,ward_euclidean
126,2,0,2,ward_euclidean
127,2,0,2,ward_euclidean
128,2,0,2,ward_euclidean
129,2,0,2,ward_euclidean
130,2,0,2,ward_euclidean
131,2,0,2,ward_euclidean
132,2,0,2,ward_euclidean
133,2,0,2,ward_euclidean
134,2,0,2,ward_euclidean
135,2,0,2,ward_euclidean
136,2,0,2,ward_euclidean
137,2,0,2,ward_euclidean
138,2,0,2,ward_euclidean
139,2,0,2,ward_euclidean
140,2,0,2,ward_euclidean
141,2,0,2,ward_euclidean
142,2,0,2,ward_euclidean
143,2,0,2,ward_euclidean
144,2,0,2,ward_euclidean
145,2,0,2,ward_euclidean
146,2,0,2,ward_euclidean
147,2,0,2,ward_euclidean
148,2,0,2,ward_euclidean
149,2,0,2,ward_euclidean
0,0,0,2,complete_euclidean
1,0,0,2,complete_euclidean
2,0,0,2,complete_euclidean
3,0,0,2,complete_euclidean
4,0,0,2,complete_euclidean
5,0,0,2,complete_euclidean
6,0,0,2,complete_euclidean
7,0,0,2,complete_euclidean
8,0,0,2,complete_euclidean
9,0,0,2,complete_euclidean
10,0,0,2,complete_euclidean
11,0,0,2,complete_euclidean
12,0,0,2,complete_euclidean
13,0,0,2,complete_euclidean
14,0,0,2,complete_euclidean
15,0,0,2,complete_euclidean
16,0,0,2,complete_euclidean
17,0,0,2,complete_euclidean
18,0,0,2,complete_euclidean
19,0,0,2,complete_euclidean
20,0,0,2,complete_euclidean
21,0,0,2,complete_euclidean
22,0,0,2,complete_euclidean
23,0,0,2,complete_euclidean
24,0,0,2,complete_euclidean
25,0,0,2,complete_euclidean
26,0,0,2,complete_euclidean
27,0,0,2,complete_euclidean
28,0,0,2,complete_euclidean
29,0,0,2,complete_euclidean
30,0,0,2,complete_euclidean
31,0,0,2,complete_euclidean
32,0,0,2,complete_euclidean
33,0,0,2,complete_euclidean
34,0,0,2,complete_euclidean
35,0,0,2,complete_euclidean
36,0,0,2,complete_euclidean
37,0,0,2,complete_euclidean
38,0,0,2,complete_euclidean
39,0,0,2,complete_euclidean
40,0,0,2,complete_euclidean
41,0,0,2,complete_euclidean
42,0,0,2,complete_euclidean
43,0,0,2,complete_euclidean
44,0,0,2,complete_euclidean
45,0,0,2,complete_euclidean
46,0,0,2,complete_euclidean
47,0,0,2,complete_euclidean
48,0,0,2,complete_euclidean
49,0,0,2,complete_euclidean
50,1,0,2,complete_euclidean
51,1,0,2,complete_euclidean
52,1,0,2,complete_euclidean
53,1,0,2,complete_euclidean
54,1,0,2,complete_euclidean
55,1,0,2,complete_euclidean
56,1,0,2,complete_euclidean
57,1,0,2,complete_euclidean
58,1,0,2,complete_euclidean
59,1,0,2,complete_euclidean
60,1,0,2,complete_euclidean
61,1,0,2,complete_euclidean
62,1,0,2,complete_euclidean
63,1,0,2,complete_euclidean
64,1,0,2,complete_euclidean
65,1,0,2,complete_euclidean
66,1,0,2,complete_euclidean
67,1,0,2,complete_euclidean
68,1,0,2,complete_euclidean
69,1,0,2,complete_euclidean
70,1,0,2,complete_euclidean
71,1,0,2,complete_euclidean
72,1,0,2,complete_euclidean
73,1,0,2,complete_euclidean
74,1,0,2,complete_euclidean
75,1,0,2,complete_euclidean
76,1,0,2,complete_euclidean
77,1,1,2,complete_euclidean
78,1,0,2,complete_euclidean
79,1,0,2,complete_euclidean
80,1,0,2,complete_euclidean
81,1,0,2,complete_euclidean
82,1,0,2,complete_euclidean
83,1,0,2,complete_euclidean
84,1,0,2,complete_euclidean
85,1,0,2,complete_euclidean
86,1,0,2,complete_euclidean
87,1,0,2,complete_euclidean
88,1,0,2,complete_euclidean
89,1,0,2,complete_euclidean
90,1,0,2,complete_euclidean
91,1,0,2,complete_euclidean
92,1,0,2,complete_euclidean
93,1,0,2,complete_euclidean
94,1,0,2,complete_euclidean
95,1,0,2,complete_euclidean
96,1,0,2,complete_euclidean
97,1,0,2,complete_euclidean
98,1,0,2,complete_euclidean
99,1,0,2,complete_euclidean
100,2,1,2,complete_euclidean
101,2,0,2,complete_euclidean
102,2,1,2,complete_euclidean
103,2,1,2,complete_euclidean
104,2,1,2,complete_euclidean
105,2,1,2,complete_euclidean
106,2,0,2,complete_euclidean
107,2,1,2,complete_euclidean
108,2,0,2,complete_euclidean
109,2,1,2,complete_euclidean
110,2,1,2,complete_euclidean
111,2,0,2,complete_euclidean
112,2,1,2,complete_euclidean
113,2,0,2,complete_euclidean
114,2,0,2,complete_euclidean
115,2,1,2,complete_euclidean
116,2,1,2,complete_euclidean
117,2,1,2,complete_euclidean
118,2,1,2,complete_euclidean
119,2,0,2,complete_euclidean
120,2,1,2,complete_euclidean
121,2,0,2,complete_euclidean
122,2,1,2,complete_euclidean
123,2,0,2,complete_euclidean
124,2,1,2,complete_euclidean
125,2,1,2,complete_euclidean
126,2,0,2,complete_euclidean
127,2,0,2,complete_euclidean
128,2,1,2,complete_euclidean
129,2,1,2,complete_euclidean
130,2,1,2,complete_euclidean
131,2,1,2,complete_euclidean
132,2,1,2,complete_euclidean
133,2,0,2,complete_euclidean
134,2,0,2,complete_euclidean
135,2,1,2,complete_euclidean
136,2,1,2,complete_euclidean
137,2,1,2,complete_euclidean
138,2,0,2,complete_euclidean
139,2,1,2,complete_euclidean
140,2,1,2,complete_euclidean
141,2,1,2,complete_euclidean
142,2,0,2,complete_euclidean
143,2,1,2,complete_euclidean
144,2,1,2,complete_euclidean
145,2,1,2,complete_euclidean
146,2,0,2,complete_euclidean
147,2,1,2,complete_euclidean
148,2,1,2,complete_euclidean
149,2,0,2,complete_euclidean
0,0,1,2,average_euclidean
1,0,1,2,average_euclidean
2,0,1,2,average_euclidean
3,0,1,2,average_euclidean
4,0,1,2,average_euclidean
5,0,1,2,average_euclidean
6,0,1,2,average_euclidean
7,0,1,2,average_euclidean
8,0,1,2,average_euclidean
9,0,1,2,average_euclidean
10,0,1,2,average_euclidean
11,0,1,2,average_euclidean
12,0,1,2,average_euclidean
13,0,1,2,average_euclidean
14,0,1,2,average_euclidean
15,0,1,2,average_euclidean
16,0,1,2,average_euclidean
17,0,1,2,average_euclidean
18,0,1,2,average_euclidean
19,0,1,2,average_euclidean
20,0,1,2,average_euclidean
21,0,1,2,average_euclidean
22,0,1,2,average_euclidean
23,0,1,2,average_euclidean
24,0,1,2,average_euclidean
25,0,1,2,average_euclidean
26,0,1,2,average_euclidean
27,0,1,2,average_euclidean
28,0,1,2,average_euclidean
29,0,1,2,average_euclidean
30,0,1,2,average_euclidean
31,0,1,2,average_euclidean
32,0,1,2,average_euclidean
33,0,1,2,average_euclidean
34,0,1,2,average_euclidean
35,0,1,2,average_euclidean
36,0,1,2,average_euclidean
37,0,1,2,average_euclidean
38,0,1,2,average_euclidean
39,0,1,2,average_euclidean
40,0,1,2,average_euclidean
41,0,1,2,average_euclidean
42,0,1,2,average_euclidean
43,0,1,2,average_euclidean
44,0,1,2,average_euclidean
45,0,1,2,average_euclidean
46,0,1,2,average_euclidean
47,0,1,2,average_euclidean
48,0,1,2,average_euclidean
49,0,1,2,average_euclidean
50,1,0,2,average_euclidean
51,1,0,2,average_euclidean
52,1,0,2,average_euclidean
53,1,0,2,average_euclidean
54,1,0,2,average_euclidean
55,1,0,2,average_euclidean
56,1,0,2,average_euclidean
57,1,0,2,average_euclidean
58,1,0,2,average_euclidean
59,1,0,2,average_euclidean
60,1,0,2,average_euclidean
61,1,0,2,average_euclidean
62,1,0,2,average_euclidean
63,1,0,2,average_euclidean
64,1,0,2,average_euclidean
65,1,0,2,average_euclidean
66,1,0,2,average_euclidean
67,1,0,2,average_euclidean
68,1,0,2,average_euclidean
69,1,0,2,average_euclidean
70,1,0,2,average_euclidean
71,1,0,2,average_euclidean
72,1,0,2,average_euclidean
73,1,0,2,average_euclidean
74,1,0,2,average_euclidean
75,1,0,2,average_euclidean
76,1,0,2,average_euclidean
77,1,0,2,average_euclidean
78,1,0,2,average_euclidean
79,1,0,2,average_euclidean
80,1,0,2,average_euclidean
81,1,0,2,average_euclidean
82,1,0,2,average_euclidean
83,1,0,2,average_euclidean
84,1,0,2,average_euclidean
85,1,0,2,average_euclidean
86,1,0,2,average_euclidean
87,1,0,2,average_euclidean
88,1,0,2,average_euclidean
89,1,0,2,average_euclidean
90,1,0,2,average_euclidean
91,1,0,2,average_euclidean
92,1,0,2,average_euclidean
93,1,0,2,average_euclidean
94,1,0,2,average_euclidean
95,1,0,2,average_euclidean
96,1,0,2,average_euclidean
97,1,0,2,average_euclidean
98,1,0,2,average_euclidean
99,1,0,2,average_euclidean
100,2,0,2,average_euclidean
101,2,0,2,average_euclidean
102,2,0,2,average_euclidean
103,2,0,2,average_euclidean
104,2,0,2,average_euclidean
105,2,0,2,average_euclidean
106,2,0,2,average_euclidean
107,2,0,2,average_euclidean
108,2,0,2,average_euclidean
109,2,0,2,average_euclidean
110,2,0,2,average_euclidean
111,2,0,2,average_euclidean
112,2,0,2,average_euclidean
113,2,0,2,average_euclidean
114,2,0,2,average_euclidean
115,2,0,2,average_euclidean
116,2,0,2,average_euclidean
117,2,0,2,average_euclidean
118,2,0,2,average_euclidean
119,2,0,2,average_euclidean
